cgpa,tenth_percentage,twelfth_percentage,backlogs,internships,num_technical_skills,num_soft_skills,num_projects,num_certifications,experience_years,num_programming_languages,department,gender,college_tier,placed,salary_lpa
8.77,99.0,82.0,0,1,12,5,7,5,1.8,2,Computer Science,Male,Tier-2,1,23.93
9.43,75.3,83.4,5,1,3,5,8,3,1.4,4,Computer Science,Male,Tier-3,1,16.68
9.28,72.1,85.8,0,1,12,9,8,5,0.1,6,Mechanical,Male,Tier-1,1,19.15
9.35,74.8,82.0,0,1,12,3,1,5,0.4,6,Computer Science,Male,Tier-2,1,21.47
9.26,66.6,78.9,0,0,9,4,7,2,0.7,4,Information Technology,Female,Tier-3,0,0.0
8.31,64.0,66.3,0,0,5,8,7,3,0.3,3,Computer Science,Female,Tier-3,1,15.12
9.26,78.5,86.1,2,1,12,1,4,2,0.5,4,Computer Science,Female,Tier-1,1,27.22
8.54,79.4,65.9,3,0,2,2,3,2,0.3,4,Mechanical,Male,Tier-2,0,0.0
9.25,80.7,71.2,2,0,5,9,8,4,1.0,7,Mechanical,Male,Tier-2,1,13.96
9.0,77.6,63.8,1,2,9,7,3,3,0.4,8,Electronics,Male,Tier-3,0,0.0
9.48,77.0,63.5,5,1,14,8,3,1,0.4,4,Mechanical,Male,Tier-3,0,0.0
8.4,63.6,70.9,0,0,8,4,2,6,0.3,7,Civil,Female,Tier-1,0,0.0
8.88,72.2,72.0,2,1,6,2,2,4,1.6,6,Mechanical,Male,Tier-2,0,0.0
8.41,79.9,64.4,0,1,9,0,2,4,1.0,7,Electrical,Male,Tier-1,0,0.0
9.76,71.5,75.3,0,0,7,1,6,3,1.3,7,Computer Science,Male,Tier-3,1,18.02
9.77,81.5,77.0,0,0,2,3,4,4,0.5,5,Electrical,Female,Tier-2,1,12.54
7.66,76.4,67.9,0,0,14,3,8,4,1.8,5,Electronics,Female,Tier-3,1,13.7
7.66,76.3,99.0,0,0,1,4,1,6,0.5,2,Civil,Male,Tier-3,0,0.0
7.8,80.5,79.3,0,0,14,8,3,0,0.2,8,Mechanical,Female,Tier-3,0,0.0
6.75,83.8,76.5,0,3,13,1,1,6,0.7,6,Computer Science,Male,Tier-3,1,16.15
9.5,86.5,66.2,0,1,3,1,7,6,0.6,8,Civil,Female,Tier-2,1,13.95
9.36,99.0,76.8,0,2,11,4,3,2,0.1,1,Information Technology,Male,Tier-2,1,19.64
9.27,88.4,78.1,1,0,4,1,0,1,1.1,7,Information Technology,Male,Tier-1,1,24.64
9.15,60.2,75.0,0,0,9,9,2,3,1.7,3,Computer Science,Male,Tier-2,1,20.11
8.98,65.0,93.4,3,2,15,4,6,6,0.4,2,Mechanical,Male,Tier-3,0,0.0
9.82,74.7,52.9,0,1,5,4,2,0,1.4,3,Electronics,Female,Tier-2,0,0.0
8.34,68.8,70.1,1,2,2,6,4,5,0.9,7,Electrical,Female,Tier-3,0,0.0
7.44,82.7,84.3,0,0,10,3,1,5,0.3,1,Information Technology,Female,Tier-2,1,16.61
9.07,84.0,63.3,0,2,5,1,7,1,0.4,1,Electronics,Male,Tier-1,1,20.64
8.69,72.2,54.9,0,1,13,7,3,6,2.9,6,Information Technology,Female,Tier-2,1,22.84
7.75,92.3,68.3,0,0,2,0,0,6,0.2,8,Civil,Male,Tier-1,0,0.0
8.02,95.5,88.6,5,1,9,9,3,1,0.2,2,Electronics,Male,Tier-3,0,0.0
9.55,56.3,63.7,0,1,6,0,7,0,0.1,5,Electronics,Male,Tier-1,1,20.31
9.92,60.9,70.4,1,0,12,10,8,5,2.1,7,Chemical,Male,Tier-2,0,0.0
8.44,91.2,80.5,0,4,12,6,0,3,1.1,8,Information Technology,Male,Tier-2,1,22.88
8.25,88.4,67.5,0,1,12,3,5,2,0.1,5,Electronics,Female,Tier-3,0,0.0
9.48,84.0,69.3,0,0,5,2,3,6,1.5,5,Electronics,Female,Tier-2,1,16.96
8.39,78.1,66.5,0,0,2,0,7,0,1.0,4,Computer Science,Male,Tier-3,0,0.0
6.85,76.8,67.6,3,0,7,7,0,4,4.3,4,Electronics,Male,Tier-1,0,0.0
9.32,84.4,59.9,0,0,7,7,4,5,0.7,2,Information Technology,Male,Tier-1,1,25.81
8.97,80.1,71.7,0,1,2,3,0,6,0.7,4,Mechanical,Male,Tier-3,0,0.0
9.09,93.7,88.8,0,1,10,1,3,1,0.3,8,Mechanical,Male,Tier-3,0,0.0
9.65,69.8,95.6,0,1,6,3,1,4,0.2,3,Mechanical,Male,Tier-2,1,12.44
8.98,78.2,91.2,0,1,10,6,8,3,1.3,2,Information Technology,Male,Tier-3,1,16.15
9.03,88.7,76.8,0,0,10,3,1,5,0.5,8,Computer Science,Female,Tier-2,1,20.56
8.9,80.0,96.6,0,3,3,10,3,5,1.3,2,Electronics,Female,Tier-2,1,18.41
8.46,86.1,99.0,4,0,8,10,2,2,1.5,8,Electronics,Female,Tier-3,0,0.0
6.94,85.9,77.4,0,0,14,2,0,2,2.3,1,Computer Science,Male,Tier-3,0,0.0
9.11,72.9,62.1,0,1,5,9,0,2,0.6,1,Electronics,Male,Tier-1,0,0.0
9.21,65.8,92.1,0,1,8,0,1,5,0.1,2,Information Technology,Male,Tier-2,1,18.04
7.95,69.0,59.4,0,4,7,8,7,6,0.0,5,Electronics,Female,Tier-2,1,16.95
7.36,65.0,63.5,0,3,14,4,1,6,0.3,1,Information Technology,Male,Tier-2,1,18.28
8.83,55.7,47.9,0,2,13,1,0,4,2.7,4,Electronics,Male,Tier-2,1,17.11
9.41,91.1,84.5,0,1,11,5,5,6,1.4,7,Electrical,Female,Tier-3,1,10.13
9.36,55.4,44.9,0,0,8,1,0,3,0.8,8,Civil,Male,Tier-3,0,0.0
7.82,99.0,87.9,0,1,12,5,8,4,0.3,7,Mechanical,Male,Tier-2,1,14.52
8.26,71.7,98.5,0,0,1,8,5,5,1.2,2,Mechanical,Female,Tier-1,1,16.09
7.9,74.7,97.5,0,0,6,1,5,1,1.4,3,Electrical,Male,Tier-3,0,0.0
7.58,59.8,58.5,1,0,13,0,0,2,0.3,2,Electronics,Male,Tier-3,0,0.0
9.86,82.6,50.8,0,0,13,6,6,3,1.2,3,Electronics,Female,Tier-2,1,17.18
8.35,74.9,66.6,0,1,11,7,2,4,0.1,1,Electrical,Female,Tier-2,1,11.03
9.51,78.7,86.4,0,0,13,1,0,6,0.1,5,Mechanical,Female,Tier-3,0,0.0
8.03,68.6,90.6,3,0,13,3,8,4,0.1,6,Electronics,Male,Tier-3,0,0.0
9.18,83.8,83.6,1,2,12,7,7,6,1.7,3,Information Technology,Male,Tier-3,1,18.41
9.36,68.1,81.9,0,1,3,3,3,4,0.3,5,Electronics,Male,Tier-3,0,0.0
8.95,78.9,99.0,0,3,14,8,2,4,0.9,6,Computer Science,Male,Tier-3,1,20.33
9.23,83.5,68.8,0,1,5,0,1,5,0.2,3,Mechanical,Female,Tier-3,0,0.0
9.26,95.4,64.9,1,0,2,9,1,4,0.6,5,Electronics,Male,Tier-1,1,17.91
9.35,87.7,59.5,0,0,11,6,2,1,0.0,8,Electronics,Male,Tier-2,1,17.09
8.33,79.1,80.6,0,1,4,2,0,2,2.0,3,Civil,Female,Tier-3,0,0.0
7.59,77.9,72.7,0,2,6,10,6,6,0.8,2,Information Technology,Female,Tier-1,1,24.48
9.97,81.8,85.7,0,0,1,9,1,4,2.2,8,Electronics,Female,Tier-2,1,16.93
6.96,87.2,69.1,0,2,13,10,5,1,0.6,8,Electronics,Male,Tier-2,1,16.54
7.6,69.1,83.2,0,1,2,10,5,5,0.4,6,Information Technology,Male,Tier-2,1,17.54
9.24,88.8,70.0,0,0,2,2,3,6,0.5,8,Information Technology,Female,Tier-2,0,0.0
9.18,66.8,72.9,0,1,9,10,3,3,0.3,2,Electronics,Male,Tier-1,1,20.7
9.49,83.5,74.1,0,1,11,6,0,3,2.2,1,Information Technology,Male,Tier-3,1,15.11
9.4,84.5,52.9,0,0,12,5,5,5,0.4,2,Electrical,Male,Tier-1,1,16.5
9.62,69.9,73.2,0,0,5,2,7,1,0.3,8,Chemical,Female,Tier-3,0,0.0
7.7,59.5,82.3,1,1,5,1,3,6,1.0,8,Computer Science,Male,Tier-1,1,25.32
6.64,74.8,62.2,0,1,6,10,0,1,0.1,7,Electronics,Female,Tier-2,0,0.0
9.63,46.4,99.0,0,0,13,10,3,6,0.2,4,Computer Science,Male,Tier-1,1,28.24
8.28,75.9,75.1,1,2,10,5,1,1,0.6,1,Computer Science,Male,Tier-3,1,15.67
7.89,63.0,66.9,0,0,3,9,3,3,0.2,2,Civil,Male,Tier-3,0,0.0
9.6,99.0,66.5,0,0,9,6,7,4,0.3,2,Computer Science,Male,Tier-2,1,21.47
8.27,90.7,92.8,0,0,3,8,2,6,1.2,4,Mechanical,Male,Tier-1,1,15.84
7.99,78.9,64.3,0,2,4,8,4,6,0.3,5,Information Technology,Female,Tier-2,1,19.61
9.04,94.0,78.9,0,1,12,8,1,2,1.0,2,Electronics,Male,Tier-1,1,21.32
9.36,86.5,86.5,0,1,15,10,8,4,0.7,3,Information Technology,Female,Tier-2,1,21.26
8.16,64.0,82.2,1,3,9,9,2,6,1.5,5,Electronics,Male,Tier-1,1,22.62
7.78,70.5,67.7,0,1,10,0,0,0,1.4,3,Information Technology,Female,Tier-3,0,0.0
8.84,90.4,85.9,0,0,8,3,6,1,0.2,7,Computer Science,Female,Tier-3,1,16.25
7.0,66.5,77.0,0,1,6,3,4,4,2.9,6,Computer Science,Male,Tier-2,1,20.14
8.66,82.7,52.6,0,1,8,9,8,2,1.6,5,Chemical,Female,Tier-3,0,0.0
8.73,86.1,90.9,0,0,1,7,2,4,0.8,8,Information Technology,Female,Tier-2,1,18.13
8.69,74.9,67.0,0,0,14,2,0,0,0.8,6,Civil,Male,Tier-1,0,0.0
8.63,79.8,72.7,0,1,4,0,6,0,1.8,3,Information Technology,Female,Tier-2,1,18.78
8.83,88.0,79.0,0,0,10,2,7,4,0.7,2,Mechanical,Female,Tier-1,1,17.09
7.55,87.4,68.1,0,0,11,5,1,5,0.7,6,Civil,Male,Tier-3,0,0.0
8.86,83.4,84.8,0,1,4,6,1,5,1.0,3,Mechanical,Male,Tier-3,0,0.0
8.56,77.8,60.7,0,2,2,8,8,5,0.1,2,Computer Science,Female,Tier-1,1,26.8
9.17,85.0,67.5,0,0,2,4,3,2,0.9,4,Computer Science,Male,Tier-2,1,20.68
8.88,53.7,90.9,0,1,13,4,0,4,0.3,3,Electrical,Male,Tier-2,1,11.23
8.89,95.7,75.3,0,1,11,2,8,1,0.1,1,Electronics,Male,Tier-1,1,20.88
8.34,76.4,61.3,0,1,10,2,8,2,1.7,7,Electronics,Male,Tier-2,1,17.73
8.46,69.2,76.0,0,4,9,8,5,3,0.5,8,Computer Science,Male,Tier-2,1,26.02
9.87,85.2,80.2,4,1,6,2,5,2,0.7,1,Electronics,Male,Tier-3,0,0.0
9.94,84.9,54.4,0,1,7,2,8,4,0.3,3,Electronics,Male,Tier-1,1,22.76
9.63,66.3,96.5,1,4,11,8,1,4,0.0,7,Mechanical,Male,Tier-3,1,11.58
8.89,78.8,98.3,0,0,11,3,8,3,0.6,2,Information Technology,Male,Tier-2,1,18.99
8.62,78.4,76.6,0,0,15,5,3,0,1.4,5,Mechanical,Female,Tier-2,1,13.29
7.4,77.7,72.4,0,1,4,0,3,4,1.4,4,Mechanical,Male,Tier-3,0,0.0
9.12,97.5,75.3,3,0,3,10,8,0,2.6,8,Electronics,Female,Tier-2,1,16.82
8.13,77.8,86.6,0,0,3,1,6,0,1.8,3,Information Technology,Male,Tier-2,0,0.0
7.35,76.4,80.9,0,0,5,10,4,1,4.0,6,Information Technology,Male,Tier-3,0,0.0
8.82,69.8,78.1,0,1,11,2,7,5,0.8,4,Electronics,Female,Tier-3,0,0.0
9.92,68.1,93.0,0,2,14,1,0,0,0.1,2,Electronics,Male,Tier-2,1,16.88
7.49,82.7,89.7,0,0,6,10,6,2,2.0,1,Electronics,Male,Tier-3,0,0.0
8.9,72.4,62.5,0,1,14,9,3,5,3.0,2,Information Technology,Male,Tier-3,1,17.23
8.83,75.7,86.5,0,0,2,2,1,0,0.6,2,Electrical,Male,Tier-3,0,0.0
8.91,80.4,90.0,1,1,7,4,1,5,0.1,3,Information Technology,Female,Tier-2,1,17.89
9.28,78.8,78.6,2,1,7,0,8,6,0.0,4,Mechanical,Male,Tier-2,0,0.0
7.99,79.6,82.8,1,2,1,0,5,6,1.0,5,Electrical,Male,Tier-3,0,0.0
8.39,79.6,71.0,1,0,15,10,3,1,1.1,4,Mechanical,Female,Tier-2,0,0.0
9.05,85.5,59.3,0,1,14,6,1,4,0.0,5,Information Technology,Male,Tier-3,1,16.17
7.93,99.0,99.0,3,0,13,8,6,4,3.0,1,Information Technology,Male,Tier-3,1,14.71
7.74,92.8,57.6,0,1,13,8,8,3,0.8,4,Civil,Male,Tier-3,0,0.0
8.8,73.7,96.9,1,2,13,6,1,0,0.9,5,Electronics,Male,Tier-3,0,0.0
8.48,92.6,74.2,0,2,13,10,3,2,0.8,4,Electronics,Female,Tier-3,1,14.67
8.69,65.4,91.2,0,0,12,10,0,6,0.4,2,Electronics,Female,Tier-3,1,12.68
9.59,71.2,75.3,0,2,7,1,0,6,2.3,1,Electronics,Male,Tier-2,0,0.0
9.24,86.5,87.2,0,0,13,10,2,3,0.0,4,Electrical,Male,Tier-2,1,12.7
8.45,86.1,80.8,2,0,4,6,0,3,1.4,6,Electrical,Male,Tier-3,0,0.0
8.86,85.2,66.3,1,2,4,8,3,6,0.4,2,Computer Science,Male,Tier-3,1,15.58
7.65,70.9,76.7,0,0,3,6,5,1,0.2,6,Electronics,Male,Tier-3,0,0.0
7.17,71.0,73.1,0,0,9,1,4,4,0.6,2,Electronics,Female,Tier-1,0,0.0
8.68,79.6,83.4,0,0,3,6,8,0,0.2,1,Electrical,Female,Tier-2,1,11.32
9.11,75.0,76.8,0,0,4,3,1,5,2.0,4,Computer Science,Male,Tier-1,1,26.58
9.5,88.7,78.7,0,0,3,7,1,5,1.6,8,Civil,Female,Tier-2,0,0.0
9.54,74.7,61.7,0,2,8,2,2,0,1.9,6,Mechanical,Male,Tier-2,1,14.58
9.53,74.3,58.4,0,1,8,4,3,4,1.8,3,Mechanical,Female,Tier-1,1,18.74
9.41,58.5,75.9,3,1,10,2,8,5,1.7,7,Information Technology,Male,Tier-3,1,17.06
8.34,88.5,77.4,0,0,8,6,5,1,0.9,7,Mechanical,Female,Tier-2,0,0.0
8.17,81.9,61.3,0,1,15,2,8,6,2.3,3,Information Technology,Female,Tier-3,1,17.23
8.35,50.6,82.4,1,1,5,9,4,1,0.1,6,Mechanical,Male,Tier-2,0,0.0
8.49,83.3,83.0,1,2,13,4,8,1,0.3,7,Civil,Female,Tier-3,0,0.0
8.88,73.2,77.0,5,3,15,0,8,2,0.2,3,Civil,Male,Tier-2,0,0.0
7.48,87.3,75.2,0,1,7,3,0,0,0.1,2,Electronics,Male,Tier-2,0,0.0
9.59,76.7,58.5,0,4,12,5,8,6,0.0,4,Information Technology,Male,Tier-2,1,24.43
7.93,68.3,58.3,0,0,3,1,6,1,0.5,8,Computer Science,Male,Tier-3,1,14.8
8.32,98.7,80.1,0,0,15,5,7,1,1.3,5,Computer Science,Male,Tier-3,1,18.07
8.77,96.9,64.2,0,1,8,9,2,4,1.0,4,Computer Science,Female,Tier-3,1,16.28
8.67,75.8,65.1,0,0,10,6,0,3,1.1,1,Information Technology,Male,Tier-1,1,22.45
9.31,82.5,78.6,0,0,2,7,3,3,2.2,5,Computer Science,Male,Tier-2,1,21.29
7.5,72.5,99.0,1,2,8,2,0,3,3.2,1,Computer Science,Male,Tier-2,1,18.96
8.29,57.5,69.8,2,1,6,9,0,0,1.1,8,Computer Science,Male,Tier-2,1,19.84
9.73,93.8,99.0,0,0,2,10,3,2,0.1,6,Electronics,Female,Tier-1,1,21.53
7.86,68.4,74.0,0,1,12,2,7,0,1.1,6,Electronics,Female,Tier-1,1,20.85
8.28,93.3,82.3,1,2,6,4,0,5,0.8,4,Mechanical,Male,Tier-1,0,0.0
8.81,86.4,87.5,0,2,11,2,8,4,0.1,1,Electronics,Male,Tier-2,1,17.27
8.94,81.4,88.4,1,1,10,8,5,1,0.3,7,Mechanical,Female,Tier-1,1,17.65
8.57,77.5,79.4,1,1,2,6,4,0,0.3,2,Electrical,Male,Tier-2,0,0.0
9.23,86.4,72.0,0,1,3,4,8,3,1.5,3,Information Technology,Female,Tier-3,1,15.84
8.84,66.8,85.8,0,1,11,4,8,2,0.4,7,Mechanical,Male,Tier-2,1,14.65
7.67,94.0,80.5,0,1,5,0,8,4,0.7,7,Mechanical,Male,Tier-3,0,0.0
7.79,79.7,69.3,0,1,1,8,2,1,1.5,4,Mechanical,Male,Tier-2,0,0.0
8.93,95.9,93.3,0,1,9,1,7,6,2.8,5,Electronics,Male,Tier-1,1,23.92
8.36,76.5,80.9,0,4,10,6,3,2,0.8,8,Mechanical,Female,Tier-2,1,15.53
9.35,79.7,65.3,1,0,3,6,3,0,0.8,5,Civil,Male,Tier-2,0,0.0
8.13,81.2,63.7,0,0,13,1,6,0,0.1,1,Information Technology,Male,Tier-3,0,0.0
9.39,84.9,99.0,3,1,12,7,7,2,0.7,3,Mechanical,Male,Tier-1,1,18.17
8.85,99.0,68.6,0,0,1,7,3,2,1.2,7,Computer Science,Male,Tier-2,1,19.69
9.76,72.7,84.8,1,1,6,8,5,1,0.2,6,Mechanical,Female,Tier-3,1,11.26
8.73,76.5,79.9,0,0,1,1,0,6,0.1,4,Electrical,Male,Tier-3,0,0.0
9.26,77.8,84.3,0,1,3,0,1,3,2.0,2,Civil,Male,Tier-1,1,14.56
8.36,50.2,99.0,0,3,7,8,4,6,0.1,1,Electronics,Female,Tier-2,1,15.98
6.95,71.3,88.0,0,1,4,2,3,6,2.4,4,Computer Science,Female,Tier-2,1,18.97
8.61,72.1,85.9,0,0,9,9,2,2,0.3,4,Electrical,Male,Tier-3,1,10.66
